Designator,Mid X,Mid Y,Rotation,Layer
C1,132.46,-111.6,-90.0,top
C10,117.83,-94.79,0.0,top
C11,107.73,-108.58,90.0,top
C12,122.1361,-103.45,90.0,top
C13,141.25,-98.61,0.0,top
C14,147.86,-95.05,180.0,top
C15,147.93,-101.05,180.0,top
C16,181.06,-118.35,180.0,top
C17,135.33,-98.6,0.0,top
C18,104.52,-72.34,180.0,top
C19,121.75,-117.92,0.0,top
C2,101.38,-108.58,90.0,top
C20,125.28,-94.13,180.0,top
C21,194.55,-93.5,90.0,bottom
C22,104.54,-93.43,180.0,top
C23,148.36,-112.45,0.0,top
C3,104.555,-108.58,90.0,top
C4,129.2,-103.45,90.0,top
C5,125.6681,-103.45,90.0,top
C6,127.275,-117.98,180.0,top
C7,132.76,-117.98,0.0,top
C8,147.63,-107.8,180.0,top
C9,112.45,-94.79,0.0,top
IC1,146.66,-97.94,180.0,bottom
IC2,172.89,-99.22,0.0,top
IC3,141.78,-113.0925,90.0,top
IC4,169.89,-79.79,0.0,top
IC5,150.51,-119.48,0.0,top
J1,98.77,-81.925,90.0,top
LOGO_MSX,110.7525,-70.5425,0.0,top
Q1,154.86,-106.23,-90.0,top
R1,120.7,-122.68,0.0,top
R10,125.3061,-113.04,0.0,top
R11,125.3061,-110.5,180.0,top
R12,125.3061,-107.96,0.0,top
R13,153.15,-98.02,0.0,top
R2,131.22,-122.68,180.0,top
R3,104.91,-118.57,180.0,top
R4,104.91,-116.03,0.0,top
R5,104.91,-113.49,180.0,top
R6,114.48,-99.49,0.0,top
R7,114.48,-102.03,180.0,top
R8,125.3061,-96.9036,180.0,top
R9,125.3061,-99.4536,180.0,top
U2,135.46,-90.68,0.0,top
U3,115.1461,-108.5436,90.0,top
U4,117.35,-81.81,-90.0,bottom
U5,135.07,-81.81,-90.0,bottom
