Designator,Mid X,Mid Y,Rotation,Layer
BUS1,185.166,-131.953,0.0,top
C1,147.574,-122.174,0.0,top
C10,196.342,-107.188,0.0,bottom
C11,176.276,-93.218,90.0,bottom
C12,170.688,-111.506,180.0,top
C13,134.874,-110.744,180.0,top
C14,158.75,-105.664,90.0,top
C15,158.75,-102.108,270.0,top
C16,141.732,-110.744,90.0,top
C17,214.63,-106.934,270.0,top
C18,152.4,-103.378,270.0,top
C19,142.494,-103.378,270.0,top
C2,179.07,-118.11,0.0,bottom
C20,141.478,-91.186,90.0,top
C21,153.924,-91.44,90.0,top
C22,158.496,-97.028,270.0,top
C23,137.414,-97.028,90.0,top
C24,160.782,-91.186,90.0,top
C25,134.366,-91.186,90.0,top
C3,163.8165,-120.65,0.0,bottom
C4,147.574,-100.584,0.0,top
C5,226.06,-76.962,0.0,top
C6,147.5875,-106.68,0.0,top
C7,195.072,-76.962,0.0,top
C8,226.06,-113.093,0.0,bottom
C9,218.44,-113.093,180.0,bottom
IC1,147.574,-116.586,270.0,top
IC2,189.484,-119.38,0.0,top
IC3,215.392,-86.448,270.0,top
IC4,147.574,-94.996,270.0,top
IC5,184.592,-86.448,270.0,top
IC6,191.932,-94.69,180.0,bottom
IC7,172.83,-109.9925,90.0,top
IC8,200.152,-106.172,0.0,top
J1,147.843,-73.466,0.0,top
Q1,219.91,-117.348,0.0,top
R1,155.194,-110.998,90.0,top
R10,133.858,-97.028,270.0,top
R11,215.138,-102.87,90.0,top
R12,152.908,-86.36,90.0,top
R13,142.748,-86.36,90.0,top
R14,150.114,-86.36,90.0,top
R15,145.796,-86.36,90.0,top
R16,138.938,-76.2,180.0,top
R17,138.938,-80.518,0.0,top
R18,154.686,-121.666,90.0,top
R19,158.75,-121.666,90.0,top
R2,158.496,-110.998,270.0,top
R20,162.052,-121.666,90.0,top
R3,222.25,-113.093,180.0,bottom
R4,161.798,-105.664,270.0,top
R5,161.798,-102.108,90.0,top
R6,156.972,-91.44,270.0,top
R7,138.176,-91.186,270.0,top
R8,154.94,-97.028,90.0,top
R9,140.97,-97.028,90.0,top
