Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1uF,
C10,0603,1,12pF,
C11,0603,1,0.1uF,
"C12, C14",CP_EIA-3528-21_Kemet-B,2,47uF,
C13,0603,1,0.1uF,
C15,0603,1,1nF,
C16,0603,1,1nF,
C17,0603,1,0.1uF,
C18,0603,1,1nF,
C19,0603,1,1nF,
C2,CP_EIA-3528-21_Kemet-B,1,10uF/16V,
"C20, C21, C24, C25",CP_EIA-3216-18_Kemet-A,4,4.7uF 25V,
C22,0603,1,390pF,
C23,0603,1,390pF,
"C26, C27",CP_EIA-3528-21_Kemet-B,2,22uF 10V,
C28,0603,1,0.1uF,
C3,0603,1,0.1uF,
"C4, C5",CP_EIA-3528-21_Kemet-B,2,47uF 16V,
C6,0603,1,0.1uF,
C9,0603,1,12pF,
"D1, D2",D_A-405_P7.62mm_Horizontal,2,D,
IC1,DIL20,1,GAL16V8D,
"IC2, IC3",SOP32L,2,KM684000ALG,
IC4,80-QFP,1,YMF278B-F,
IC5,SOP50P2000X120-48N,1,AM29F016B-120EC,
J1,PJ-307,1,PJ-307,
Q1,Crystal_HC49-U_Vertical,1,33.8688,
R1,0603,1,220R,
R10,0603,1,100K,
R11,0603,1,100K,
R12,0603,1,1K,
R13,0603,1,10K,
R14,0603,1,1K,
R15,0603,1,1.8K,
R16,0603,1,1K,
R17,0603,1,1.8K,
R18,0603,1,10K,
R19,0603,1,2.2K,
R2,0603,1,220R,
R20,0603,1,2.2K,
R21,0603,1,2.2K,
R3,0603,1,3.3K,
R4,0603,1,10K,
R5,0603,1,10K,
R6,0603,1,4.7K,
R7,0603,1,4.7K,
R8,0603,1,4.7K,
R9,0603,1,4.7K,
T1,SOT-23,1,2SA733,
"T2, T3, T4",SOT-23,3,2SC945,
"U1, U2",SO-8_5.3x6.2mm_P1.27mm,2,NJM4558,
U3,SO-16_5.3x10.2mm_P1.27mm,1,uPD6376,
