Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1uF,
C10,0603,1,0.1uF,
C11,0603,1,0.1uF,
C2,CP_EIA-3528-21_Kemet-B,1,10uF/16V,
C3,0603,1,0.1uF,
C4,0603,1,0.1uF,
C5,0603,1,12pF,
C6,0603,1,12pF,
C7,0603,1,0.1uF,
C8,0603,1,0.1uF,
C9,0603,1,0.1uF,
IC1,DIL20,1,GAL16V8D,
"IC2, IC3",SOP32L,2,KM684000ALG,
IC4,80-QFP,1,YMF278B-F,
IC5,SOP50P2000X120-48N,1,AM29F016B-120EC,
J1,PinHeader_2x06_P2.54mm_Vertical,1,Conn_02x06_Top_Bottom,
J2,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Top_Bottom,
J3,KCX_BT_EMITTER,1,Conn_01x11_Pin,
J4,PinHeader_1x11_P2.54mm_Vertical,1,Conn_01x11_Pin,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
Q1,Crystal_HC49-U_Vertical,1,33.8688,
R1,0603,1,3.3K,
R2,0603,1,1K,
