Designator,Mid X,Mid Y,Rotation,Layer
BUS1,185.1152,-131.953,0.0,top
C1,183.2734,-117.7544,0.0,bottom
C10,202.8444,-106.0704,0.0,bottom
C11,214.0204,-92.8494,90.0,bottom
C2,164.8325,-120.904,0.0,bottom
C3,225.298,-76.2,0.0,top
C4,193.2432,-76.4032,0.0,top
C5,217.2208,-111.5568,180.0,bottom
C6,226.1994,-111.5568,0.0,bottom
C7,183.134,-95.1992,270.0,bottom
C8,199.644,-82.042,180.0,bottom
C9,212.4964,-105.0544,270.0,top
IC1,191.3128,-117.9576,0.0,top
IC2,215.1228,-85.725,270.0,top
IC3,182.9664,-85.9028,270.0,top
IC4,198.5248,-93.7308,180.0,bottom
IC5,199.324,-104.6988,0.0,top
J1,166.3192,-76.8096,0.0,top
J2,145.6894,-117.6478,0.0,top
J3,156.5656,-100.9904,0.0,top
J4,144.272,-111.252,90.0,top
J5,163.4744,-115.7732,90.0,top
Q1,224.192,-116.3828,180.0,top
R1,221.8558,-111.5568,180.0,bottom
R2,213.5632,-100.1654,270.0,top
